Player,EV (MPH),Dist (ft)
Rangel Ravelo,111.5,487
Ian Desmond,110.8,486
Ryan McMahon,108.3,479
Jackie Bradley Jr.,112.1,478
Chris Iannetta,113.1,476
Keon Broxton,109,474
Mike Yastrzemski,108.5,472
Hunter Renfroe,110.9,470
Randal Grichuk,107.2,469
Wil Myers,108.5,468
Pete Alonso,110.2,467
Ian Desmond,105.4,467
Charlie Blackmon,107.6,464
Max Muncy,110.1,464
Nolan Arenado,107.7,463
Javier Baez,111.9,460
Trevor Story,106.1,459
Hunter Renfroe,107.5,459
Ryan McMahon,108.1,458
Trevor Story,106.3,458
Hunter Renfroe,105.1,456
Sam Hilliard,105.4,455
Ryan McMahon,105.9,455
Ian Desmond,111.9,454
Ian Desmond,108.6,454
Ryan McMahon,108.9,453
Josh Bell,106.3,452
Jon Berti,108.9,451
Yuli Gurriel,106.5,450
Charlie Blackmon,106.3,450
Harrison Bader,108.3,450
Will Smith,101.9,449
Trevor Story,106.9,449
Pete Alonso,106.1,448
Ian Desmond,108.9,448
Trevor Story,108.2,448
Sam Hilliard,107.2,447
Trevor Story,110.6,447
David Dahl,106.3,447
Trevor Story,104,447
Charlie Blackmon,105.1,445
Donovan Solano,103.4,445
Charlie Blackmon,105,445
Russell Martin,107.5,445
David Dahl,106.3,445
Ryan McMahon,109.3,444
Charlie Blackmon,104.9,444
Nick Ahmed,106.5,443
Brandon Crawford,104.2,443
Ketel Marte,105.8,442
Ketel Marte,107.8,442
Stephen Vogt,106.8,442
Trevor Story,106.9,442
Luis Urias,102.2,441
Steven Brault,102.5,441
Tyler Austin,107.1,441
Adam Jones,108.5,441
Raimel Tapia,101.5,440
Jose Osuna,104,440
Mark Reynolds,109.1,439
Alex Verdugo,105.8,439
Russell Martin,104.5,439
Justin Smoak,106.1,438
Stephen Vogt,109.6,438
Rafael Devers,101.8,437
Trevor Story,101.6,437
Dwight Smith,106.3,437
Renato Nunez,108.8,436
Garrett Hampson,105,436
Trevor Story,103.8,436
Vladimir Guerrero Jr.,104.6,436
Wil Myers,104,435
Nolan Arenado,104.7,435
Brian Dozier,106,435
Ian Desmond,113.6,435
Xander Bogaerts,108,435
J.D. Martinez,108.1,434
Ronald Acuna Jr.,111.6,434
Mike Yastrzemski,101.9,433
Ian Desmond,105.7,433
Eduardo Escobar,103.6,433
Charlie Blackmon,105.9,433
Melky Cabrera,101.6,433
Lorenzo Cain,105.3,433
Charlie Blackmon,100.9,433
Donovan Solano,103.7,433
Ryan McMahon,105.4,433
David Dahl,102.9,433
Anthony Rizzo,103.1,433
Kolten Wong,101.1,432
Kyle Schwarber,107.9,432
David Dahl,104.5,432
Nolan Arenado,105,432
David Dahl,102,432
Nolan Arenado,104.9,431
Trevor Story,105.5,431
Hunter Renfroe,103.7,431
Charlie Blackmon,102.3,431
Enrique Hernandez,104.1,430
Mark Reynolds,103.3,430
Trevor Story,104.6,430
Nick Ahmed,101.3,430
Adam Jones,105.8,430
Raimel Tapia,104.4,429
Carson Kelly,101.8,428
Trevor Story,104.9,428
Cody Bellinger,106.6,428
Yuli Gurriel,101.5,428
Ryan McMahon,99.2,427
Ryan McMahon,101.3,427
Austin Hedges,102.4,427
Brandon Crawford,103.6,426
Hunter Renfroe,105.4,426
Kevin Newman,102.2,426
Charlie Blackmon,104.4,426
Renato Nunez,106.5,426
Mark Reynolds,106,425
Eduardo Escobar,99.2,425
Buster Posey,100.8,425
Nolan Arenado,99.8,424
Dansby Swanson,102.8,424
Dom Nunez,99.5,424
Nolan Arenado,100.8,424
David Peralta,113.2,424
Carson Kelly,103.3,423
Nolan Arenado,98.6,423
Jeff McNeil,98.5,423
Nolan Arenado,99.5,423
Raimel Tapia,102.7,423
Adam Frazier,102.2,422
Kevin Newman,101.7,422
Ryan McMahon,101.4,422
Jonathan Villar,100.7,422
Nick Ahmed,100,422
Ronald Acuna Jr.,103.5,421
Curt Casali,100.1,420
Charlie Blackmon,99.9,419
Josh Naylor,98.1,419
Charlie Blackmon,99.1,419
Nolan Arenado,100.9,419
Ian Desmond,102.9,419
Nolan Arenado,103.3,419
