Player,Dist (ft)
Kyle Schwarber,473
Josh VanMeter,463
Paul DeJong,462
Christian Yelich,462
Jung Ho Kang,457
Yasiel Puig,453
Travis Shaw,449
Hunter Pence,449
Danny Santana,448
Garrett Cooper,447
Brian Anderson,446
Paul Goldschmidt,445
Paul Goldschmidt,443
Ryan Braun,443
Yasmani Grandal,442
Kyle Schwarber,442
Christian Yelich,440
Christian Yelich,439
Victor Caratini,439
Christian Walker,438
Buster Posey,435
Christian Yelich,435
Eugenio Suarez,433
Harrison Bader,432
Derek Dietrich,432
Eric Thames,432
Christian Yelich,431
Lorenzo Cain,431
Andrew McCutchen,431
Mike Moustakas,429
Paul DeJong,429
Jason Heyward,427
Christian Yelich,427
Lorenzo Cain,425
Nolan Arenado,425
Yasmani Grandal,425
Ian Desmond,424
Kolten Wong,424
Ryan Braun,424
Eduardo Escobar,424
Freddie Freeman,424
Marcell Ozuna,424
Matt Carpenter,423
Keston Hiura,423
George Springer,422
Albert Almora Jr.,422
Keston Hiura,421
Daniel Descalso,421
Ben Gamel,421
Joc Pederson,421
Ryan Braun,421
Christian Yelich,421
Christian Yelich,420
Christian Yelich,420
Elvis Andrus,420
Keston Hiura,419
Lorenzo Cain,419
Max Muncy,419
Daniel Vogelbach,419
Marcell Ozuna,419
Matt Carpenter,419
Tyler Austin,419
Mike Moustakas,419
Tyler Saladino,419
Ryan Braun,419
Christian Yelich,418
Mike Moustakas,417
Manny Pina,416
Eric Thames,416
Mike Moustakas,415
Keston Hiura,415
Jason Heyward,415
Paul Goldschmidt,415
Christian Yelich,415
Miguel Sano,415
Eric Thames,414
Eric Thames,413
Cody Bellinger,413
Tucker Barnhart,413
Eric Thames,412
Jesus Aguilar,412
Ryan Braun,412
Manny Pina,412
Willson Contreras,412
Trevor Story,411
Yasmani Grandal,411
David Bote,411
Kolten Wong,411
Travis Shaw,410
Mike Moustakas,410
Raimel Tapia,409
Marcell Ozuna,409
Yasmani Grandal,408
Christian Yelich,408
Christian Yelich,408
Christian Yelich,408
Jason Heyward,408
Ryan Braun,408
Mike Moustakas,408
Orlando Arcia,407
Eric Thames,407
Eric Thames,407
Mike Moustakas,407
Eugenio Suarez,407
J.T. Realmuto,406
Eric Thames,406
Christian Yelich,406
Christian Yelich,406
Eric Thames,406
Alex Bregman,406
Ryan Braun,406
Paul Goldschmidt,406
Mike Moustakas,405
Jhoulys Chacin,405
Paul DeJong,405
Christian Yelich,405
Yasmani Grandal,405
Keston Hiura,404
Christian Yelich,404
Addison Russell,404
Yasmani Grandal,404
Trent Grisham,403
Yordan Alvarez,403
Nolan Arenado,403
Orlando Arcia,403
Rhys Hoskins,403
Mike Moustakas,403
Kevin Newman,402
Marwin Gonzalez,402
Nolan Arenado,402
Cesar Hernandez,401
Mike Moustakas,401
Tyler Austin,401
Keston Hiura,401
Yasmani Grandal,400
Yasmani Grandal,400
Enrique Hernandez,399
Eric Hosmer,399
Shin-Soo Choo,398
Andrew Knapp,398
Pete Alonso,398
Yasmani Grandal,398
Kevin Newman,398
Orlando Arcia,397
Eric Thames,397
Yasmani Grandal,397
Christian Yelich,396
Nick Senzel,396
Mike Moustakas,396
Keston Hiura,395
Rhys Hoskins,395
Yasmani Grandal,395
Hunter Renfroe,395
Manny Pina,395
Joey Votto,394
Keston Hiura,394
Yadier Molina,394
Jesus Aguilar,393
Yasiel Puig,393
Cory Spangenberg,393
Keston Hiura,393
Manny Pina,392
Kolten Wong,392
Josh Donaldson,392
Christian Yelich,392
Ben Gamel,391
Lorenzo Cain,391
Manny Pina,391
Willson Contreras,390
Logan Forsythe,390
Lorenzo Cain,390
Kyle Schwarber,390
Brian Anderson,389
Yasmani Grandal,389
Ryan Braun,388
Juan Lagares,388
Lorenzo Cain,388
Eric Thames,388
Ben Gamel,388
Christian Yelich,388
Mike Moustakas,388
Nick Castellanos,387
Trent Grisham,387
Aaron Wilkerson,386
Yadier Molina,386
Christian Yelich,386
Willson Contreras,385
Howie Kendrick,385
Eric Thames,384
Starlin Castro,384
Eric Thames,383
Hernan Perez,383
Jesse Winker,383
Nick Senzel,383
David Dahl,382
Eddie Rosario,381
Colin Moran,381
Jesus Aguilar,380
Trent Grisham,380
Eric Thames,380
Cody Bellinger,380
Seth Mejias-Brean,380
Christian Yelich,380
Christian Yelich,380
David Bote,380
Mitch Garver,379
Lorenzo Cain,379
Brandon Crawford,378
Brandon Belt,378
Mitch Garver,377
Eugenio Suarez,375
Orlando Arcia,375
Yadier Molina,375
Jose Iglesias,375
Tyler Flowers,374
Christian Yelich,374
Travis Shaw,374
Ryan Braun,373
Paul Goldschmidt,373
Evan Longoria,372
Hernan Perez,370
Joc Pederson,369
Austin Slater,369
Yasmani Grandal,369
Orlando Arcia,367
Christian Yelich,366
Keston Hiura,365
Orlando Arcia,365
Anthony Rizzo,362
Eugenio Suarez,360
Christian Yelich,359
Adam Eaton,358
Adam Frazier,358
Hernan Perez,358
Mike Moustakas,355
Mike Moustakas,355
Jason Heyward,355
Victor Caratini,354
Ben Gamel,251
