Rk.,Player,Result,Game Date,EV (MPH),LA (Â°),Pitch (MPH),Dist (ft),Vs.,var10
1,Nomar Mazara,home_run,2019,109.7,27,94.7,505,CWS,Graphs
2,Miguel Sano,home_run,2019,113.5,25,92.3,496,CWS,Graphs
3,Pete Alonso,home_run,2019,110.9,30,86.6,489,MIN,Graphs
4,Rangel Ravelo,home_run,2019,111.5,26,84.1,487,COL,Graphs
5,Ian Desmond,home_run,2019,110.8,28,80.2,486,CHC,Graphs
6,Mike Trout,home_run,2019,111.1,25,89.8,486,OAK,Graphs
7,Avisail Garcia,home_run,2019,112.9,26,92.9,485,MIA,Graphs
8,Nomar Mazara,home_run,2019,112.1,25,81.9,482,CHC,Graphs
9,Ketel Marte,home_run,2019,111.9,23,92.8,482,NYM,Graphs
10,Gary Sanchez,home_run,2019,113.3,23,82,481,HOU,Graphs
11,Ryan McMahon,home_run,2019,108.3,29,87.2,479,LAD,Graphs
12,Nelson Cruz,home_run,2019,110.1,29,80.3,478,KC,Graphs
13,Jackie Bradley Jr.,home_run,2019,112.1,30,90.7,478,COL,Graphs
14,Chris Iannetta,home_run,2019,113.1,33,85.9,476,TOR,Graphs
15,Ian Happ,home_run,2019,108.6,32,95.9,474,OAK,Graphs
16,Keon Broxton,home_run,2019,109,26,93.5,474,COL,Graphs
17,George Springer,home_run,2019,112.6,26,89.7,474,TOR,Graphs
18,Josh Bell,home_run,2019,113.3,22,94.7,474,CIN,Graphs
19,Carlos Correa,home_run,2019,111.5,28,90.5,474,BAL,Graphs
20,Kyle Schwarber,home_run,2019,113.8,23,88.5,473,MIL,Graphs
21,Edwin Rios,home_run,2019,112.5,29,87.1,473,SD,Graphs
22,Mike Trout,home_run,2019,112.8,27,91.8,473,KC,Graphs
23,Jorge Alfaro,home_run,2019,109.5,26,79.2,473,SF,Graphs
24,Mike Yastrzemski,home_run,2019,108.5,29,93.2,472,COL,Graphs
25,Anthony Rizzo,home_run,2019,111.2,30,90,472,LAA,Graphs
26,Josh Bell,home_run,2019,114.9,25,92.9,472,TEX,Graphs
27,Shin-Soo Choo,home_run,2019,111.7,28,91,472,OAK,Graphs
28,Rougned Odor,home_run,2019,110.5,27,100.1,471,LAA,Graphs
29,Eloy Jimenez,home_run,2019,111.6,24,79.4,471,KC,Graphs
30,Luke Voit,home_run,2019,109,33,84,470,KC,Graphs
31,Hunter Renfroe,home_run,2019,110.9,22,95,470,COL,Graphs
32,Aristides Aquino,home_run,2019,107.4,27,96.7,469,CHC,Graphs
33,David Bote,home_run,2019,113.8,23,87.1,469,ARI,Graphs
34,Randal Grichuk,home_run,2019,107.2,27,87.1,469,COL,Graphs
35,Nelson Cruz,home_run,2019,112.4,24,97.4,469,CWS,Graphs
36,Wil Myers,home_run,2019,108.5,31,86.8,468,COL,Graphs
37,Fernando Tatis Jr.,home_run,2019,108.4,25,92.1,468,CHC,Graphs
38,Ian Desmond,home_run,2019,105.4,26,92.3,467,SF,Graphs
39,Jonathan Schoop,home_run,2019,110.4,30,79.9,467,LAA,Graphs
40,Gary Sanchez,home_run,2019,110.8,28,90.6,467,SF,Graphs
41,Aaron Judge,home_run,2019,116,24,90,467,OAK,Graphs
42,Jeimer Candelario,home_run,2019,107.9,29,90,467,CLE,Graphs
43,Pete Alonso,home_run,2019,110.2,33,89.6,467,COL,Graphs
44,Joey Gallo,home_run,2019,108.6,32,98.8,467,PIT,Graphs
45,Kyle Schwarber,home_run,2019,111.2,35,95.6,467,COL,Graphs
46,Ronald Acuna Jr.,home_run,2019,112.7,21,96.7,466,ARI,Graphs
47,Bryce Harper,home_run,2019,114.1,28,93.6,466,COL,Graphs
48,Jorge Soler,home_run,2019,112.1,28,84.8,465,MIN,Graphs
49,Bryce Harper,home_run,2019,113.7,26,92.8,465,ATL,Graphs
50,Jonathan Schoop,home_run,2019,108.1,28,88.5,465,HOU,Graphs
51,Max Muncy,home_run,2019,110.1,28,99.8,464,COL,Graphs
52,Paul Goldschmidt,home_run,2019,109.1,27,88.5,464,NYM,Graphs
53,C.J. Cron,home_run,2019,114.3,30,90.9,464,SEA,Graphs
54,Charlie Blackmon,home_run,2019,107.6,28,81.8,464,SD,Graphs
55,Nolan Arenado,home_run,2019,107.7,28,86.2,463,STL,Graphs
56,Ronald Acuna Jr.,home_run,2019,115.9,28,89.7,463,CIN,Graphs
57,Josh VanMeter,home_run,2019,106.9,28,91.7,463,MIL,Graphs
58,Corey Dickerson,home_run,2019,109,27,87.3,463,ARI,Graphs
59,Willson Contreras,home_run,2019,112.9,24,93.4,463,ATL,Graphs
60,Pete Alonso,home_run,2019,114.6,27,91.9,462,SD,Graphs
61,Willy Adames,home_run,2019,108.3,27,95.3,462,BOS,Graphs
62,Christian Yelich,home_run,2019,114.2,26,88.3,462,CIN,Graphs
63,Yoan Moncada,home_run,2019,113.9,32,89.4,462,DET,Graphs
64,Aaron Judge,home_run,2019,114.1,20,92.4,462,SEA,Graphs
65,Jorge Soler,home_run,2019,114.4,24,92.8,462,MIN,Graphs
66,Eloy Jimenez,home_run,2019,110.8,28,90,462,WSH,Graphs
67,Paul DeJong,home_run,2019,109.7,23,90.2,462,MIL,Graphs
68,Gary Sanchez,home_run,2019,113.7,28,87.6,461,TB,Graphs
69,Gio Urshela,home_run,2019,111.4,32,93.7,461,BAL,Graphs
70,Nelson Cruz,home_run,2019,111.7,28,94.1,460,WSH,Graphs
71,Willson Contreras,home_run,2019,109.4,28,78,460,LAA,Graphs
72,Javier Baez,home_run,2019,111.9,24,82.3,460,COL,Graphs
73,Willson Contreras,home_run,2019,108.4,27,84.3,460,PIT,Graphs
74,Josh Bell,home_run,2019,110.5,25,89.7,460,ARI,Graphs
75,Mike Moustakas,home_run,2019,111.5,22,82.2,459,PIT,Graphs
76,Avisail Garcia,home_run,2019,111.2,34,79.7,459,CWS,Graphs
77,Trevor Story,home_run,2019,106.1,31,95.6,459,PHI,Graphs
78,Alex Verdugo,home_run,2019,109,24,93.3,459,CHC,Graphs
79,Hunter Renfroe,home_run,2019,107.5,29,90.5,459,COL,Graphs
80,Christian Yelich,home_run,2019,109.7,26,82.7,459,ARI,Graphs
81,Bryce Harper,home_run,2019,111.5,27,89.1,458,WSH,Graphs
82,Rougned Odor,home_run,2019,109.6,27,88.1,458,SEA,Graphs
83,Ryan McMahon,home_run,2019,108.1,24,81.7,458,ARI,Graphs
84,Yoan Moncada,home_run,2019,109.3,30,86.2,458,DET,Graphs
85,Yoan Moncada,home_run,2019,112.5,27,94.4,458,WSH,Graphs
86,Tommy Pham,home_run,2019,107.9,27,84.6,458,OAK,Graphs
87,Nomar Mazara,home_run,2019,111.8,29,86,458,SEA,Graphs
88,Rafael Devers,home_run,2019,111.1,20,93.9,458,BAL,Graphs
89,Nelson Cruz,home_run,2019,113.1,28,95.4,458,CWS,Graphs
90,Bryce Harper,home_run,2019,107.6,30,98.3,458,LAD,Graphs
91,Trevor Story,home_run,2019,106.3,29,88.8,458,SF,Graphs
92,Pete Alonso,home_run,2019,111.8,29,85.1,458,STL,Graphs
93,Alex Dickerson,home_run,2019,110.9,21,87.7,458,ARI,Graphs
94,Jung Ho Kang,home_run,2019,111.4,23,96.6,457,MIL,Graphs
95,Miguel Sano,home_run,2019,111.6,28,95.4,457,NYY,Graphs
96,Eugenio Suarez,home_run,2019,112.2,26,91,457,CHC,Graphs
97,Joey Gallo,home_run,2019,112.6,27,91.8,457,KC,Graphs
98,Franmil Reyes,home_run,2019,109.6,29,89.9,457,LAD,Graphs
99,Bobby Bradley,home_run,2019,113.5,25,93.5,457,MIN,Graphs
100,Jonathan Villar,home_run,2019,108,25,92.5,456,DET,Graphs
101,Eugenio Suarez,home_run,2019,108.9,25,93.3,456,ARI,Graphs
102,Hunter Pence,home_run,2019,109.2,22,67.1,456,KC,Graphs
103,Jorge Alfaro,home_run,2019,110,21,93.9,456,NYM,Graphs
104,Hunter Pence,home_run,2019,113.1,18,78.4,456,HOU,Graphs
105,Hunter Renfroe,home_run,2019,105.1,29,93.8,456,COL,Graphs
106,Mike Trout,home_run,2019,110.6,23,92.9,456,TOR,Graphs
107,Bryce Harper,home_run,2019,113.7,26,86.3,456,SF,Graphs
108,Avisail Garcia,home_run,2019,110.9,25,88.7,456,TOR,Graphs
109,J.T. Realmuto,home_run,2019,111,28,89.2,456,CHC,Graphs
110,Jorge Alfaro,home_run,2019,112.6,23,92.2,456,WSH,Graphs
111,Wil Myers,home_run,2019,109,24,85.4,456,SF,Graphs
112,Yasiel Puig,home_run,2019,106.9,28,76.8,455,MIN,Graphs
113,Marcell Ozuna,home_run,2019,112.3,24,82.1,455,SD,Graphs
114,Ryan McMahon,home_run,2019,105.9,26,93.5,455,MIA,Graphs
115,Ronald Acuna Jr.,home_run,2019,113.3,25,84.3,455,SD,Graphs
116,Jake Lamb,home_run,2019,106.5,30,95.1,455,SD,Graphs
117,Manny Machado,home_run,2019,110.3,23,93,455,BAL,Graphs
118,Starling Marte,home_run,2019,106.8,28,78.5,455,HOU,Graphs
119,Rowdy Tellez,home_run,2019,112.9,26,91,455,ATL,Graphs
120,Willson Contreras,home_run,2019,110.9,20,91.1,455,PIT,Graphs
121,Mike Zunino,home_run,2019,107.7,25,83,455,NYY,Graphs
122,Brandon Lowe,home_run,2019,109.6,26,92.1,455,BOS,Graphs
123,Sam Hilliard,home_run,2019,105.4,24,91.8,455,BOS,Graphs
124,Javier Baez,home_run,2019,105.7,30,80.1,454,OAK,Graphs
125,Jorge Soler,home_run,2019,115.1,30,95.6,454,SEA,Graphs
126,Josh Bell,home_run,2019,116.2,27,87,454,COL,Graphs
127,Joc Pederson,home_run,2019,110.5,31,95.5,454,ARI,Graphs
128,Alex Gordon,home_run,2019,106,26,95.8,454,DET,Graphs
129,Miguel Sano,home_run,2019,108.9,34,91.4,454,KC,Graphs
130,Yordan Alvarez,home_run,2019,112.1,28,95.2,454,TEX,Graphs
131,Harrison Bader,home_run,2019,109.1,24,93.4,454,MIL,Graphs
132,Starling Marte,home_run,2019,108.1,29,93.4,454,CHC,Graphs
133,Pete Alonso,home_run,2019,110,24,83.7,454,CHC,Graphs
134,Pete Alonso,home_run,2019,118.3,17,95.1,454,ATL,Graphs
135,Ronny Rodriguez,home_run,2019,111.1,30,92.4,454,MIN,Graphs
136,Mike Trout,home_run,2019,111,28,89.8,454,SEA,Graphs
137,Ian Desmond,home_run,2019,108.6,23,88.2,454,PIT,Graphs
138,Ian Desmond,home_run,2019,111.9,19,84.5,454,MIA,Graphs
139,Byron Buxton,home_run,2019,111,31,86.9,454,CLE,Graphs
140,Robel Garcia,home_run,2019,112.8,28,91.8,454,SF,Graphs
141,Trea Turner,home_run,2019,109.4,22,93,453,KC,Graphs
142,Yasiel Puig,home_run,2019,108.2,23,85.4,453,MIL,Graphs
143,George Springer,home_run,2019,111.3,29,95.7,453,CWS,Graphs
144,Kevin Cron,home_run,2019,111.4,24,92.5,453,TEX,Graphs
145,Matt Chapman,home_run,2019,109,26,75.9,453,HOU,Graphs
146,Ketel Marte,home_run,2019,107.2,29,90.7,453,NYY,Graphs
147,Hunter Dozier,home_run,2019,113.5,24,88.4,453,SEA,Graphs
148,Miguel Cabrera,home_run,2019,106,26,83.7,453,CWS,Graphs
149,Travis d'Arnaud,home_run,2019,107,33,90,453,BOS,Graphs
150,Brian Goodwin,home_run,2019,107.9,27,82.1,453,TEX,Graphs
151,Ryan McMahon,home_run,2019,108.9,22,89.3,453,ARI,Graphs
152,Miguel Sano,home_run,2019,111.3,24,90.3,452,BOS,Graphs
153,Lourdes Gurriel Jr.,home_run,2019,109.6,27,82.5,452,HOU,Graphs
154,Franmil Reyes,home_run,2019,106.6,31,92.4,452,BAL,Graphs
155,Yoan Moncada,home_run,2019,110.2,26,90.1,452,KC,Graphs
156,Michael Conforto,home_run,2019,110.9,35,84,452,KC,Graphs
157,Josh Bell,home_run,2019,106.3,27,85.6,452,COL,Graphs
158,Pete Alonso,home_run,2019,112,20,94.2,451,ATL,Graphs
159,Vladimir Guerrero Jr.,home_run,2019,113.7,20,88.8,451,SF,Graphs
160,Jon Berti,home_run,2019,108.9,22,95.9,451,COL,Graphs
161,Michael Chavis,home_run,2019,111.2,33,90.5,451,COL,Graphs
162,Randal Grichuk,home_run,2019,110.2,22,97.2,451,TB,Graphs
163,Pete Alonso,home_run,2019,110.6,23,90,451,ATL,Graphs
164,Eugenio Suarez,home_run,2019,110.8,27,81.7,451,LAA,Graphs
165,Josh Bell,home_run,2019,111.3,22,93.2,451,OAK,Graphs
166,Jorge Soler,home_run,2019,109.5,31,95.5,451,CLE,Graphs
167,Xander Bogaerts,home_run,2019,112.1,25,93.3,451,NYY,Graphs
