Organic,Mineral,Surface
22.74,8.5,10.83
14.9,5.5,11.94
17.9,3.02,15.76
11.4,7.31,15.03
29.8,4.85,15.77
14.86,3.91,8.74
18.3,4.71,12.4
5.3,7.45,10.96
27.1,16.92,14.53
15.91,11.97,6.4
5.2,9.29,9.2
15.72,7.66,10.3
16.51,11.33,19.78
15.35,4.6,12.04
11.9,7.85,14.19
20.46,21,8.12
6.51,11.72,10.48
9.72,7.11,20.56
14,8.5,16.82
16.87,9.11,13.89
8.81,10.89,7.6
19.8,11.8,12.88
7.4,17.99,17.93
15.42,4.8,10.7
5.29,8.79,8.69
14.86,10.3,6.3
17.5,8.05,19.01
22.49,21.4,14.28
20.46,4.9,16
8.09,9.6,10.46
10.3,11.56,6.68
,10.72,19.19
,8.37,13.11
,9.1,20.7
,12.57,16.23
,7,7.34
,21.82,13.14
,7.92,12.27
,7.9,13.7
,12.89,15.43
,3.99,9.52
,22.62,12.51
,17.9,16.47
,11.72,16.12
,9.81,
,3.79,
,10.74,
