Col1,Col2,Col3,Col4
Player,Distance,,
"Trevor,Story",505,
"Franchy,Cordero",489,
"Javier,Baez",481,
"Avisail,Garcia",481,
"Marcell,Ozuna",479,
"Christian,Walker",479,
"Franmil,Reyes",477,
"Matt,Olson",475,
"Bryce,Harper",473,
"Carlos,Gonzalez",473,
"Michael,Conforto",472,
"Joey,Gallo",472,
"Ian,Desmond",472,
"Aaron,Judge",471,
"Trevor,Story",471,
"Randal,Grichuk",471,
"Trevor,Story",471,
"Chris,Iannetta",469,
"Chris,Shaw",468,
"Max,Stassi",466,
"Joey,Gallo",466,
"Trevor,Story",465,
"Nelson,Cruz",465,
"Ketel,Marte",465,
"Trevor,Story",464,
"Nolan,Arenado",464,
"Mac,Williamson",464,
"C.J.,Cron",464,
"Paul,DeJong",464,
"Randal,Grichuk",464,
"Yoenis,Cespedes",463,
"Yasiel,Puig",463,
"George,Springer",462,
"Gary,Sanchez",461,
"Carlos,Gonzalez",461,
"Gary,Sanchez",460,
"Ji-Man,Choi",460,
"Matt,Adams",460,
"Trevor,Story",459,
"Trevor,Story",459,
"Franchy,Cordero",459,
"Ian,Desmond",459,
"Mike,Trout",459,
"Yangervis,Solarte",459,
"Giancarlo,Stanton",458,
"Tyler,O'Neill",457,
"Giancarlo,Stanton",456,
"Robinson,Chirinos",456,
"Matt,Olson",456,
"Franchy,Cordero",456,
"Ketel,Marte",455,
"George,Springer",455,
"Carlos,Gonzalez",455,
"Franmil,Reyes",455,
"Miguel,Sano",455,
"A.J.,Pollock",455,
"Carlos,Correa",455,
"Yangervis,Solarte",455,
"Salvador,Perez",454,
"Tommy,Pham",454,
"Mike,Zunino",454,
"Matt,Olson",454,
"Nolan,Arenado",454,
"Nelson,Cruz",453,
"Joey,Gallo",453,
"Odubel,Herrera",453,
"Chris,Iannetta",453,
"Giancarlo,Stanton",453,
"Starling,Marte",453,
"Travis,Shaw",452,
"Ronald,Acuna,Jr.",452
"Mookie,Betts",452,
"George,Springer",452,
"Eugenio,Suarez",451,
"Jose,Abreu",451,
"Ronald,Acuna,Jr.",451
"Tyler,Austin",451,
"Bryce,Harper",451,
"Matt,Davidson",450,
"Steven,Souza,Jr.",450
"Wil,Myers",450,
"Marcell,Ozuna",450,
"Paul,Goldschmidt",450,
"Lourdes,Gurriel,Jr.",450
"Lewis,Brinson",450,
"David,Peralta",449,
"Shohei,Ohtani",449,
"Brandon,Nimmo",449,
"Franchy,Cordero",449,
"Nomar,Mazara",449,
"Mark,Reynolds",449,
"David,Peralta",449,
"Tony,Cruz",449,
"Giancarlo,Stanton",449,
"Yasiel,Puig",449,
"Scott,Schebler",449,
"Yolmer,Sanchez",449,
"Nolan,Arenado",449,
"Bryce,Harper",449,
"Matt,Holliday",448,
"Daniel,Palka",448,
"Kris,Bryant",448,
"Eugenio,Suarez",448,
"Derek,Dietrich",448,
"Tyler,Flowers",448,
"Corey,Dickerson",447,
"German,Marquez",447,
"Nolan,Arenado",447,
"Charlie,Blackmon",447,
"Starling,Marte",447,
"Eduardo,Escobar",447,
"Matt,Davidson",447,
"Rougned,Odor",447,
"Derek,Fisher",447,
"Shin-Soo,Choo",447,
"Gary,Sanchez",447,
"Joey,Gallo",447,
"Pablo,Sandoval",447,
"Rafael,Devers",447,
"Nomar,Mazara",447,
"Giancarlo,Stanton",447,
"Shohei,Ohtani",446,
"Jefry,Marte",446,
"Carlos,Correa",446,
"Wilson,Ramos",446,
"Shin-Soo,Choo",446,
"Gary,Sanchez",446,
"Jorge,Alfaro",446,
"Nelson,Cruz",446,
"Jonathan,Schoop",446,
"Carlos,Gonzalez",445,
"Max,Muncy",445,
"Michael,Conforto",445,
"David,Peralta",445,
"Joey,Gallo",445,
"Daniel,Palka",445,
"Francisco,Lindor",445,
"Rougned,Odor",445,
"Carlos,Santana",445,
"Christian,Walker",445,
"Hunter,Pence",445,
"Mikie,Mahtook",445,
"Jorge,Soler",444,
"Gleyber,Torres",444,
"Mark,Trumbo",444,
"Joey,Gallo",444,
"Aaron,Judge",444,
"Rhys,Hoskins",444,
"Francisco,Lindor",444,
"Kyle,Schwarber",444,
"Franklin,Barreto",444,
"Anthony,Rizzo",444,
"Kyle,Schwarber",444,
"Manny,Machado",444,
"Cody,Bellinger",443,
"Jake,Cave",443,
"Ronald,Guzman",443,
"Shin-Soo,Choo",443,
"Jose,Altuve",443,
"Bryce,Harper",443,
"C.J.,Cron",443,
"Shohei,Ohtani",443,
"J.D.,Martinez",443,
"Wil,Myers",443,
"J.D.,Martinez",443,
"Max,Muncy",443,
"Aaron,Judge",443,
"Ryan,Braun",443,
"Nelson,Cruz",443,
"Robinson,Chirinos",443,
"Mitch,Moreland",443,
"Mitch,Haniger",443,
"Justin,Upton",443,
"Jordy,Mercer",443,
"Eduardo,Escobar",443,
"Shohei,Ohtani",443,
"Stephen,Piscotty",443,
"Ryan,Zimmerman",443,
"Danny,Valencia",443,
"Charlie,Blackmon",442,
"Jonathan,Schoop",442,
"Preston,Tucker",442,
"Aaron,Judge",442,
"Nelson,Cruz",442,
"George,Springer",442,
"Mike,Zunino",442,
"Trevor,Story",442,
"Randal,Grichuk",442,
"Yolmer,Sanchez",442,
"David,Bote",442,
"Mark,Trumbo",442,
"Logan,Morrison",442,
"Franmil,Reyes",442,
"Keon,Broxton",442,
"Christian,Yelich",441,
"Mitch,Haniger",441,
"Nomar,Mazara",441,
"Stephen,Piscotty",441,
"Ryon,Healy",441,
"Freddie,Freeman",441,
"Ryon,Healy",441,
"Ronald,Acuna,Jr.",441
