Month,Day,Time,State,f scale,Injuries,Fatalities,Prop loss,Length,Width,Number,F0,ln(length),,,,,,,,
1,2,9:03:00,TX,1,0,0,30000,2.55,100,1,No,0.936093359,,,,,,,,
1,2,9:44:00,TX,1,0,0,30000,2.57,100,1,No,0.943905899,,,,,,,,
1,2,10:06:00,LA,1,0,0,25000,0.3,20,1,No,-1.203972804,,,,,,,,
1,2,10:17:00,LA,1,0,0,50000,1.2,50,1,No,0.182321557,,,,,,,,
1,2,10:30:00,LA,1,0,0,20000,4.64,100,1,No,1.534714366,,,,,,,,
1,2,10:30:00,LA,1,0,0,150000,2.74,100,1,No,1.00795792,,,,,,,,
1,2,11:06:00,LA,1,0,0,50000,0.54,50,1,No,-0.616186139,,,,,,,,
1,2,11:30:00,LA,0,0,0,75000,0.54,25,1,Yes,-0.616186139,,,,,,,,
1,2,11:31:00,LA,1,0,0,250000,1.4,100,1,No,0.336472237,,,,,,,,
1,2,11:44:00,LA,1,0,0,1000000,1.64,200,1,No,0.494696242,,,,,,,,
1,2,11:47:00,LA,1,0,0,1000000,2.84,200,1,No,1.043804052,,,,,,,,
1,2,11:51:00,LA,1,0,0,2500000,1.05,200,1,No,0.048790164,,,,,,,,
1,2,13:02:00,MS,0,0,0,50000,3.89,250,1,Yes,1.358409158,,,,,,,,
1,2,13:14:00,MS,1,0,0,40000,5.59,200,1,No,1.720979287,,,,,,,,
1,2,13:21:00,MS,1,0,0,425000,6.81,300,1,No,1.91839212,,,,,,,,
1,2,13:45:00,LA,1,0,0,0,0.08,75,1,No,-2.525728644,,,,,,,,
1,2,13:55:00,MS,1,0,0,0,3.96,100,1,No,1.376244025,,,,,,,,
1,2,14:00:00,MS,1,0,0,0,0.85,100,1,No,-0.162518929,,,,,,,,
1,2,14:02:00,MS,1,0,0,200000,9.43,400,1,No,2.243896097,,,,,,,,
1,2,14:21:00,MS,2,0,0,100000,4.2,300,1,No,1.435084525,,,,,,,,
1,2,14:43:00,MS,1,0,0,110000,3.85,275,1,No,1.348073148,,,,,,,,
1,2,14:44:00,LA,0,0,0,0,0.01,5,1,Yes,-4.605170186,,,,,,,,
1,2,14:52:00,MS,1,0,0,80000,8.36,225,1,No,2.123458427,,,,,,,,
