Trip Seconds,Trip Miles,Fare,Trip Total,Payment Type
1680,13.9,35.75,50.31,Credit Card
480,1.8,8,9,Credit Card
960,6.7,19,19,Cash
360,0,7.25,9.25,Cash
420,0,7,7,Cash
1440,1,40,44,Cash
420,1.7,7.75,10.75,Cash
360,0,5.75,5.75,Cash
600,6.3,17.5,17.5,Cash
1460,17.75,43.5,55.2,Credit Card
420,1.3,6.75,10.25,Credit Card
2856,17.67,50.5,65.4,Mobile
360,1.4,7,8,Credit Card
240,0.5,5.25,7.25,Credit Card
780,0,15.25,17.25,Cash
660,5.6,16.25,19.6,Credit Card
157,0.25,4,4,Cash
1854,18.29,45.75,79.25,Credit Card
840,0.2,13.75,15.75,Cash
480,2.1,9,12,Credit Card
240,0,6,7,Cash
300,0,6.5,8.5,Credit Card
480,2.4,9.25,9.25,Cash
1020,0.5,21.75,26.2,Credit Card
240,0.9,5.5,6.5,Cash
240,0,5.25,6.25,Cash
1200,0.3,17.75,19.25,Cash
900,8.01,21.75,26.7,Credit Card
480,0,8,8,Cash
113,0.24,4.25,4.25,Cash
420,0,8.75,10.5,Credit Card
540,0,7.5,11.5,Credit Card
600,0,9,9,Cash
1140,10.7,28.25,36.25,Credit Card
425,1.75,7.5,7.5,Cash
455,0.78,6.25,7.25,Cash
480,0.1,8.25,11.25,Credit Card
316,0.86,6,7.5,Cash
420,0.7,5.75,6.75,Credit Card
249,0.7,5,8.5,Credit Card
453,1.35,7.25,10.75,Credit Card
601,2.85,10.5,14,Credit Card
120,0,4.25,5.25,Cash
433,1.38,7.25,7.25,Cash
1860,4.1,15.5,20.8,Credit Card
910,6.49,18.5,18.5,Cash
314,1.25,6.5,7.8,Mobile
673,2.62,10.75,10.75,Cash
600,4.6,14,18,Cash
1860,14.9,38.5,46.5,Credit Card
1620,14.6,39,51.7,Credit Card
600,0.3,16.75,16.75,Cash
485,1.33,7.5,13,Credit Card
1620,0,40.75,53.7,Credit Card
300,0.9,5.75,5.75,Cash
611,1,7.75,9.25,Cash
180,0,4.75,4.75,Cash
1620,15.5,39.5,49.5,Credit Card
1680,7.4,22.75,28.6,Credit Card
429,1.74,7.75,10.25,Credit Card
402,1,6.25,6.25,Cash
1260,0.7,30.5,34.5,Cash
558,1.96,8.25,9.75,Credit Card
710,4.55,14,17.4,Credit Card
600,0.1,8.75,10.75,Cash
