Month,Day,Time,State,F Scale,Injuries,Fatalities,PropLoss,Length,Width,NumberStates,F0
1,2,9:03:00,TX,1,0,0,30000,2.55,100,1,No
1,2,9:44:00,TX,1,0,0,30000,2.57,100,1,No
1,2,10:06:00,LA,1,0,0,25000,0.3,20,1,No
1,2,10:17:00,LA,1,0,0,50000,1.2,50,1,No
1,2,10:30:00,LA,1,0,0,20000,4.64,100,1,No
1,2,10:30:00,LA,1,0,0,150000,2.74,100,1,No
1,2,11:06:00,LA,1,0,0,50000,0.54,50,1,No
1,2,11:30:00,LA,0,0,0,75000,0.54,25,1,Yes
1,2,11:31:00,LA,1,0,0,250000,1.4,100,1,No
1,2,11:44:00,LA,1,0,0,1000000,1.64,200,1,No
1,2,11:47:00,LA,1,0,0,1000000,2.84,200,1,No
1,2,11:51:00,LA,1,0,0,2500000,1.05,200,1,No
1,2,13:02:00,MS,0,0,0,50000,3.89,250,1,Yes
1,2,13:14:00,MS,1,0,0,40000,5.59,200,1,No
1,2,13:21:00,MS,1,0,0,425000,6.81,300,1,No
1,2,13:45:00,LA,1,0,0,0,0.08,75,1,No
1,2,13:55:00,MS,1,0,0,0,3.96,100,1,No
1,2,14:00:00,MS,1,0,0,0,0.85,100,1,No
1,2,14:02:00,MS,1,0,0,200000,9.43,400,1,No
1,2,14:21:00,MS,2,0,0,100000,4.2,300,1,No
1,2,14:43:00,MS,1,0,0,110000,3.85,275,1,No
1,2,14:44:00,LA,0,0,0,0,0.01,5,1,Yes
1,2,14:52:00,MS,1,0,0,80000,8.36,225,1,No
1,2,15:28:00,MS,0,0,0,20000,1.5,75,1,Yes
1,2,16:24:00,AL,1,0,0,0,3.4,485,1,No
1,2,16:58:00,GA,1,0,0,60000,0.59,200,1,No
1,2,19:35:00,AL,2,0,0,550000,7.82,500,1,No
1,2,19:46:00,AL,1,0,0,100000,2.52,200,1,No
1,2,20:12:00,GA,2,0,0,500000,4.34,400,1,No
1,2,20:14:00,GA,1,0,0,250000,3.73,600,1,No
1,2,20:18:00,GA,2,0,0,500000,10.87,1000,1,No
1,2,20:34:00,GA,2,0,0,100000,4.43,500,1,No
1,2,20:41:00,GA,1,0,0,50000,9.91,1000,1,No
1,2,20:52:00,GA,0,0,0,250000,0.66,400,1,Yes
1,2,21:08:00,GA,1,0,0,100000,3.97,200,1,No
1,2,21:32:00,GA,1,0,0,500000,8.95,600,1,No
1,7,0:30:00,FL,0,0,0,0,0.24,50,1,Yes
1,9,16:00:00,CA,0,0,0,0,0.18,20,1,Yes
1,11,2:01:00,CA,0,0,0,25000,0.42,130,1,Yes
1,13,9:33:00,TX,0,0,0,0,1.19,25,1,Yes
1,15,15:48:00,TX,0,0,0,0,1.25,20,1,Yes
1,15,17:45:00,TX,2,0,0,500000,12.92,200,1,No
1,15,18:17:00,TX,1,0,0,90000,1.38,120,1,No
1,15,18:35:00,TX,1,2,0,300000,6.5,200,1,No
1,15,19:00:00,TX,2,0,0,0,1.99,450,1,No
1,15,20:11:00,TX,0,0,0,150000,3.07,40,1,Yes
1,15,20:43:00,TX,0,0,0,120000,0.31,80,1,Yes
1,16,2:43:00,TX,0,0,0,300000,3.13,250,1,Yes
1,16,7:31:00,TX,0,0,0,0,0.1,20,1,Yes
1,16,8:35:00,TX,0,0,0,0,0.1,20,1,Yes
1,16,8:40:00,TX,0,0,0,0,0.2,20,1,Yes
1,18,13:40:00,TX,1,0,0,50000,0.6,25,1,No
1,19,7:53:00,MS,2,1,0,2300000,19.26,500,1,No
1,19,17:58:00,AL,1,0,0,0,0.7,175,1,No
1,21,3:35:00,MS,3,57,4,9460000,31.06,900,1,No
1,21,5:14:00,AL,2,4,0,750000,20.42,800,1,No
1,21,5:55:00,AL,1,0,0,0,4.17,900,1,No
1,21,7:49:00,GA,1,0,0,50000,5.42,200,1,No
1,21,7:55:00,AL,1,0,0,0,0.68,200,1,No
1,21,7:55:00,AL,1,0,0,0,1.53,450,1,No
1,21,7:57:00,AL,0,0,0,0,0.21,90,1,Yes
1,21,8:48:00,AL,1,0,0,0,2.84,100,1,No
1,21,8:49:00,AL,0,0,0,0,2.38,150,1,Yes
1,21,8:55:00,AL,1,0,0,0,37.34,400,1,No
1,21,8:56:00,AL,0,0,0,0,1.07,150,1,Yes
1,21,9:00:00,AL,0,0,0,0,0.83,150,1,Yes
1,21,9:08:00,AL,0,0,0,0,0.12,50,1,Yes
1,21,9:19:00,AL,1,0,0,0,0.92,300,1,No
1,21,9:33:00,GA,1,0,0,75000,10.84,400,1,No
1,21,10:06:00,GA,0,0,0,10000,1.92,100,1,Yes
1,21,10:14:00,GA,1,0,0,65000,9.52,300,1,No
1,21,10:18:00,GA,1,0,0,100000,12.25,400,1,No
1,21,10:22:00,GA,2,0,0,300000,5.68,300,1,No
1,21,10:25:00,GA,1,0,0,75000,5.26,200,1,No
1,21,10:32:00,GA,0,0,0,20000,0.78,100,1,Yes
1,21,10:39:00,GA,1,0,0,20000,1.87,175,1,No
1,21,10:59:00,GA,1,0,0,30000,8.92,100,1,No
1,21,11:08:00,GA,0,0,0,15000,8.84,250,1,Yes
1,21,11:11:00,GA,2,0,0,295000,12.85,350,1,No
1,21,11:46:00,GA,0,0,0,50000,4.23,100,1,Yes
1,21,11:50:00,GA,1,0,0,30000,4.32,100,1,No
1,21,11:54:00,GA,1,0,0,10000,5.84,100,1,No
1,21,12:10:00,GA,0,0,0,25000,0.57,50,1,Yes
1,21,12:20:00,GA,0,0,0,12000,2.18,85,1,Yes
1,21,12:28:00,GA,1,0,0,10000,0.53,70,1,No
1,21,12:39:00,GA,0,0,0,10000,6.39,100,1,Yes
1,21,12:40:00,GA,1,0,0,30000,2.59,300,1,No
1,21,12:45:00,GA,1,0,0,50000,1.3,300,1,No
1,21,12:46:00,GA,1,0,0,60000,8.38,300,1,No
1,21,13:09:00,GA,0,0,0,0,1.3,250,1,Yes
1,21,13:11:00,GA,0,0,0,50000,4.8,200,1,Yes
1,21,13:23:00,GA,0,0,0,0,1.5,100,1,Yes
1,21,13:40:00,GA,1,0,0,0,1,75,1,No
1,21,13:42:00,GA,0,0,0,0,0.69,50,1,Yes
1,21,13:50:00,GA,0,0,0,0,0.91,250,1,Yes
1,21,13:52:00,GA,1,0,0,0,2.7,525,1,No
1,21,14:47:00,SC,2,1,0,0,13.78,1600,1,No
1,21,15:09:00,SC,1,0,0,0,5.47,400,1,No
1,21,16:18:00,TX,2,0,0,1000000,6.93,230,1,No
1,21,16:19:00,TX,1,0,0,250000,0.81,100,1,No
1,21,16:50:00,TX,2,1,0,900000,13.36,800,2,No
1,21,16:50:00,TX,2,1,0,825000,10.99,800,2,No
1,21,17:23:00,LA,2,0,0,75000,2.37,400,2,No
1,21,17:12:00,LA,2,1,0,825000,10.79,990,1,No
1,21,17:55:00,LA,1,0,0,10000,3.5,350,1,No
1,21,17:56:00,LA,2,1,0,500000,2.04,300,1,No
1,21,19:00:00,LA,1,1,0,250000,2.23,150,1,No
1,21,19:04:00,AR,1,0,0,10000,2.89,75,1,No
1,21,19:38:00,AR,0,0,0,25000,0.61,50,1,Yes
1,21,19:51:00,LA,0,0,0,25000,1.24,150,1,Yes
